timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-08-14,10.6900,10.8000,10.6900,10.8000,10.8000,3825,0.0000,1.0000
2018-08-10,10.6600,10.6600,10.6600,10.6600,10.6600,415,0.0000,1.0000
2018-08-03,10.6700,10.6900,10.6700,10.6900,10.6900,520,0.0000,1.0000
2018-08-02,10.7700,11.0000,10.6700,10.8500,10.8500,9412,0.0000,1.0000
2018-07-31,10.9700,11.0000,10.8670,10.8670,10.8670,1000,0.0000,1.0000
2018-07-30,10.7000,10.8294,10.6800,10.7000,10.7000,4304,0.0000,1.0000
2018-07-26,10.6500,10.7000,10.6500,10.7000,10.7000,8000,0.0000,1.0000
2018-07-24,10.9900,11.0000,10.8000,10.8000,10.8000,1400,0.0000,1.0000
2018-07-23,10.7668,10.7668,10.7668,10.7668,10.7668,750,0.0000,1.0000
2018-07-20,11.0000,11.0000,10.7900,10.8000,10.8000,2815,0.0000,1.0000
2018-07-19,10.7480,10.8000,10.6600,10.8000,10.8000,1589,0.0000,1.0000
2018-07-17,10.9000,10.9000,10.7100,10.8000,10.8000,8401,0.0000,1.0000
2018-07-16,10.8900,12.0000,10.7500,10.9400,10.9400,884281,0.0000,1.0000
2018-07-13,10.5711,10.5711,10.5711,10.5711,10.5711,1000,0.0000,1.0000
2018-07-11,10.5500,10.5800,10.5500,10.5800,10.5800,15951,0.0000,1.0000
2018-07-10,10.5000,10.5500,10.5000,10.5500,10.5500,94900,0.0000,1.0000
2018-07-09,10.5500,10.5500,10.5500,10.5500,10.5500,3000,0.0000,1.0000
2018-07-06,10.5100,10.5100,10.5100,10.5100,10.5100,100700,0.0000,1.0000
2018-07-03,10.5100,10.5100,10.5100,10.5100,10.5100,25180,0.0000,1.0000
2018-06-29,10.4500,10.5500,10.4500,10.5000,10.5000,220000,0.0000,1.0000
2018-06-28,10.4500,10.4500,10.4500,10.4500,10.4500,313205,0.0000,1.0000
2018-06-27,10.4162,10.4162,10.4162,10.4162,10.4162,100,0.0000,1.0000
2018-06-25,10.4977,10.4977,10.4100,10.4100,10.4100,1205,0.0000,1.0000
2018-06-22,10.4000,10.4000,10.4000,10.4000,10.4000,1,0.0000,1.0000
2018-06-18,10.4000,10.4000,10.4000,10.4000,10.4000,660,0.0000,1.0000
2018-06-14,10.4000,10.4000,10.4000,10.4000,10.4000,6010,0.0000,1.0000
2018-06-13,10.4000,10.4000,10.4000,10.4000,10.4000,250,0.0000,1.0000
2018-06-12,10.5000,10.5000,10.4800,10.4800,10.4800,1600,0.0000,1.0000
2018-06-08,10.4500,10.4617,10.4500,10.4617,10.4617,4000,0.0000,1.0000
2018-06-05,10.4000,10.4500,10.3500,10.4000,10.4000,293136,0.0000,1.0000
2018-06-01,10.4000,10.4500,10.4000,10.4500,10.4500,12100,0.0000,1.0000
2018-05-23,10.3500,10.3500,10.3500,10.3500,10.3500,900,0.0000,1.0000
2018-05-22,10.3000,10.3600,10.2900,10.3500,10.3500,59606,0.0000,1.0000
2018-05-18,10.2500,10.2500,10.2500,10.2500,10.2500,12000,0.0000,1.0000
2018-05-14,10.2400,10.2400,10.2400,10.2400,10.2400,9122,0.0000,1.0000
2018-05-10,10.2300,10.2500,10.2200,10.2400,10.2400,14285,0.0000,1.0000
2018-05-03,10.2500,10.2500,10.2368,10.2368,10.2368,6350,0.0000,1.0000
2018-05-02,10.2492,10.2492,10.2492,10.2492,10.2492,100,0.0000,1.0000
2018-04-27,10.2950,10.2950,10.2950,10.2950,10.2950,100,0.0000,1.0000
2018-04-26,10.2500,10.2551,10.2500,10.2551,10.2551,6000,0.0000,1.0000
2018-04-25,10.2500,10.2500,10.2500,10.2500,10.2500,3500,0.0000,1.0000
2018-04-24,10.2700,10.2700,10.2700,10.2700,10.2700,100,0.0000,1.0000
2018-04-23,10.2500,10.2900,10.2500,10.2900,10.2900,6900,0.0000,1.0000
2018-04-20,10.2500,10.2500,10.2500,10.2500,10.2500,13500,0.0000,1.0000
2018-04-19,10.2400,10.2400,10.2400,10.2400,10.2400,1250,0.0000,1.0000
2018-04-18,10.2492,10.2492,10.2492,10.2492,10.2492,100,0.0000,1.0000
2018-04-17,10.2500,10.2500,10.2000,10.2492,10.2492,448,0.0000,1.0000
2018-04-16,10.2492,10.2500,10.2400,10.2500,10.2500,8600,0.0000,1.0000
2018-04-12,10.2300,10.2300,10.2300,10.2300,10.2300,100,0.0000,1.0000
2018-04-11,10.2500,10.2500,10.2500,10.2500,10.2500,100,0.0000,1.0000
2018-04-10,10.2792,10.2792,10.2792,10.2792,10.2792,179,0.0000,1.0000
2018-04-09,10.2500,10.2800,10.2400,10.2800,10.2800,11928,0.0000,1.0000
2018-04-06,10.2400,10.2400,10.2400,10.2400,10.2400,100,0.0000,1.0000
2018-04-05,10.2500,10.2500,10.2500,10.2500,10.2500,100,0.0000,1.0000
2018-04-04,10.2600,10.2600,10.2600,10.2600,10.2600,100,0.0000,1.0000
2018-04-03,10.2800,10.3500,10.2800,10.2800,10.2800,17705,0.0000,1.0000
2018-04-02,10.2800,10.2800,10.2700,10.2700,10.2700,15300,0.0000,1.0000
2018-03-29,10.2700,10.2800,10.2700,10.2800,10.2800,1400,0.0000,1.0000
2018-03-26,10.2900,10.2900,10.2900,10.2900,10.2900,100,0.0000,1.0000
2018-03-23,10.3000,10.3500,10.2900,10.2900,10.2900,16997,0.0000,1.0000
2018-03-22,10.2999,10.2999,10.2999,10.2999,10.2999,200,0.0000,1.0000
2018-03-21,10.2800,10.2800,10.2800,10.2800,10.2800,107,0.0000,1.0000
2018-03-20,10.2500,10.2999,10.2300,10.2999,10.2999,900,0.0000,1.0000
2018-03-19,10.2400,10.2400,10.2300,10.2300,10.2300,201,0.0000,1.0000
2018-03-16,10.2400,10.2400,10.2400,10.2400,10.2400,200,0.0000,1.0000
2018-03-15,10.2200,10.3000,10.2200,10.2500,10.2500,11288,0.0000,1.0000
2018-03-09,10.2600,10.2600,10.2600,10.2600,10.2600,100,0.0000,1.0000
2018-03-07,10.2400,10.2400,10.2400,10.2400,10.2400,100,0.0000,1.0000
2018-03-06,10.2400,10.2500,10.2200,10.2200,10.2200,128300,0.0000,1.0000
2018-03-02,10.2200,10.2200,10.2200,10.2200,10.2200,100,0.0000,1.0000
2018-03-01,10.0900,10.2500,10.0800,10.2400,10.2400,43632,0.0000,1.0000
2018-02-28,10.2000,10.2200,10.1800,10.2200,10.2200,700,0.0000,1.0000
2018-02-26,10.2300,10.2300,10.2000,10.2295,10.2295,1400,0.0000,1.0000
2018-02-23,10.2400,10.2400,10.2400,10.2400,10.2400,200,0.0000,1.0000
2018-02-22,10.2400,10.2400,10.2400,10.2400,10.2400,100,0.0000,1.0000
2018-02-20,10.2400,10.2400,10.2400,10.2400,10.2400,200,0.0000,1.0000
2018-02-16,10.2300,10.2500,10.2300,10.2500,10.2500,300,0.0000,1.0000
2018-02-15,10.2400,10.2500,10.2400,10.2500,10.2500,300,0.0000,1.0000
2018-02-14,10.2300,10.2300,10.1500,10.2300,10.2300,600,0.0000,1.0000
2018-02-13,10.2100,10.2100,10.2100,10.2100,10.2100,300,0.0000,1.0000
2018-02-12,10.2200,10.2200,10.2200,10.2200,10.2200,100,0.0000,1.0000
2018-02-09,10.0900,10.2000,10.0500,10.2000,10.2000,104300,0.0000,1.0000
